NAME,PARTY,TOTAL VOTES,STATE,GENDER
Unmesh Bhaiyyasaheb Patil,BJP,713874,Maharashtra,MALE
Devaji Patel,BJP,772833,Rajasthan,MALE
Dr. JAYANTA KUMAR ROY,BJP,760145,West Bengal,MALE
Jugal Kishore,BJP,858066,Jammu & Kashmir,MALE
POONAMBEN HEMATBHAI MAADAM,BJP,591588,Gujarat,FEMALE
Bidyut Baran Mahato,BJP,679632,Jharkhand,MALE
CHIRAG KUMAR PASWAN,LJP,529134,Bihar,MALE
KHALILUR RAHAMAN,AITC,562838,West Bengal,MALE
GUHARAM AJGALLEY,BJP,572790,Chhattisgarh,MALE
SHYAM SINGH YADAV,BSP,521128,Uttar Pradesh,MALE
PRATIMA MONDAL,AITC,761202,West Bengal,FEMALE
DUSHYANT SINGH,BJP,887400,Rajasthan,MALE
Ramprit Mandal,JD(U),602391,Bihar,MALE
Anurag Sharma,BJP,809272,Uttar Pradesh,MALE
Kunar Hembram,BJP,626583,West Bengal,MALE
NARENDRA KUMAR,BJP,738163,Rajasthan,MALE
Gajendra Singh Shekhawat,BJP,788888,Rajasthan,MALE
TOPON KUMAR GOGOI,BJP,543288,Assam,MALE
CHUDASAMA RAJESHBHAI NARANBHAI,BJP,547744,Gujarat,MALE
CHAVDA VINOD LAKHAMSHI,BJP,637034,Gujarat,MALE
Y.S.Avinash Reddy,YSRCP,783499,Andhra Pradesh,MALE
Pradeep Kumar,BJP,566961,Uttar Pradesh,MALE
Brijbhusan Sharan Singh,BJP,581358,Uttar Pradesh,MALE
VANGA GEETHAVISWANATH,YSRCP,537630,Andhra Pradesh,FEMALE
BASANTA KUMAR PANDA,BJP,433074,Odisha,MALE
Gaurav Gogoi,INC,786092,Assam,MALE
Gautham Sigamani Pon,DMK,721713,Tamil Nadu,MALE
Dr. SHRIKANT EKNATH SHINDE,SHS,559723,Maharashtra,MALE
Selvam.G,DMK,684004,Tamil Nadu,MALE
ACHYUTANANDA SAMANTA,BJD,461679,Odisha,MALE
Kishan Kapoor,BJP,725218,Himachal Pradesh,MALE
MOHAN MANDAVI,BJP,546233,Chhattisgarh,MALE
SUBRAT PATHAK,BJP,563087,Uttar Pradesh,MALE
Vasanthakumar. H,INC,627235,Tamil Nadu,MALE
K. SUDHAKARAN,INC,529741,Kerala,MALE
Satyadev Pachauri,BJP,468937,Uttar Pradesh,MALE
Adhikari Sisir,AITC,711872,West Bengal,MALE
MAHABALI SINGH,JD(U),398408,Bihar,MALE
MANOJ RAJORIA,BJP,526443,Rajasthan,MALE
KRIPANATH MALLAH,BJP,473046,Assam,MALE
BANDI SANJAY KUMAR,BJP,498276,Telangana,MALE
Sanjay Bhatia,BJP,911594,Haryana,MALE
Jothimani S,INC,695697,Tamil Nadu,FEMALE
Rajmohan Unnithan,INC,474961,Kerala,MALE
DULAL CHANDRA GOSWAMI,JD(U),559423,Bihar,MALE
VINOD KUMAR SONKAR,BJP,383009,Uttar Pradesh,MALE
Anubhav Mohanty,BJD,630179,Odisha,MALE
JASBIR SINGH GILL (DIMPA),INC,459710,Punjab,MALE
Choudhary Mehboob Ali Kaiser,LJP,510193,Bihar,MALE
V.D. SHARMA (VISHNU DATT SHARMA),BJP,811135,Madhya Pradesh,MALE
NAMA NAGESWR RAO,TRS,567459,Telangana,MALE
NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),BJP,838909,Madhya Pradesh,MALE
GAJENDRA UMRAO SINGH PATEL,BJP,773550,Madhya Pradesh,MALE
Chauhan Devusinh,BJP,714572,Gujarat,MALE
Ajay Kumar,BJP,609589,Uttar Pradesh,MALE
ARJUN MUNDA,BJP,382638,Jharkhand,MALE
Dr. Mohammad Jawed,INC,367017,Bihar,MALE
ANNPURNA DEVI,BJP,753016,Jharkhand,FEMALE
Naba Kumar Sarania,IND,484560,Assam,MALE
S. MUNISWAMY,BJP,709165,Karnataka,MALE
Sanjay Sadashivrao Mandlik,SHS,749085,Maharashtra,MALE
Mala Roy,AITC,573119,West Bengal,FEMALE
BANDYOPADHYAY SUDIP,AITC,474891,West Bengal,MALE
N.K.Premachandran,RSP,499677,Kerala,MALE
KARADI SANGANNA AMARAPPA,BJP,586783,Karnataka,MALE
SAPTAGIRI SANKAR ULAKA,INC,371129,Odisha,MALE
JYOTSNA CHARANDAS MAHANT,INC,523310,Chhattisgarh,FEMALE
OM BIRLA,BJP,800051,Rajasthan,MALE
Thomas Chazhikadan,KEC(M),421046,Kerala,MALE
M.K.RAGHAVAN,INC,493444,Kerala,MALE
Dr.A.CHELLAKUMAR,INC,611298,Tamil Nadu,MALE
MAHUA MOITRA,AITC,614872,West Bengal,FEMALE
AYUSHMAN DOCTOR SANJEEV KUMAR,YSRCP,605462,Andhra Pradesh,MALE
NAYAB SINGH,BJP,688629,Haryana,MALE
VIJAY KUMAR DUBEY,BJP,597039,Uttar Pradesh,MALE
Jamyang Tsering Namgyal,BJP,42914,Jammu & Kashmir,MALE
PRADAN BARUAH,BJP,776406,Assam,MALE
MOHAMMED FAIZAL PP,NCP,22851,Lakshadweep,MALE
Sangeeta Azad,BSP,518820,Uttar Pradesh,FEMALE
Sudhakar Tukaram Shrangare,BJP,661495,Maharashtra,MALE
SUDARSHAN BHAGAT,BJP,371595,Jharkhand,MALE
Rajnath Singh,BJP,633026,Uttar Pradesh,MALE
RAVNEET SINGH BITTU,INC,383795,Punjab,MALE
Bholanath (B.P. Saroj),BJP,488397,Uttar Pradesh,MALE
BALASHOWRY VALLABHANENI,YSRCP,572850,Andhra Pradesh,MALE
Ranjeetsinha Hindurao Naik- Nimbalkar,BJP,586314,Maharashtra,MALE
Dinesh Chandra Yadav,JD(U),624334,Bihar,MALE
ASHOK KUMAR YADAV,BJP,595843,Bihar,MALE
VENKATESAN S,CPI(M),447075,Tamil Nadu,MALE
Kavitha Malothu,TRS,462109,Telangana,FEMALE
PANKAJ CHOUDHARY,BJP,726349,Uttar Pradesh,MALE
"Janardan Singh 'Sigriwal""",BJP,546352,Bihar,MALE
CHUNNI LAL SAHU,BJP,616580,Chhattisgarh,MALE
MANNE SRINIVAS REDDY,TRS,411402,Telangana,MALE
SHARDABEN ANILBHAI PATEL,BJP,659525,Gujarat,FEMALE
MULAYAM SINGH YADAV,SP,524926,Uttar Pradesh,MALE
P.K. Kunhalikutty,IUML,589873,Kerala,MALE
ABU HASEM KHAN CHOWDHURY (DALU),INC,444270,West Bengal,MALE
KHAGEN MURMU,BJP,509524,West Bengal,MALE
ANUMULA REVANTH REDDY,INC,603748,Telangana,MALE
RAM SWAROOP SHARMA,BJP,647189,Himachal Pradesh,MALE
FAGGAN SINGH KULASTE,BJP,737266,Madhya Pradesh,MALE
Sudheer Gupta,BJP,847786,Madhya Pradesh,MALE
SUMALATHA AMBAREESH,IND,703660,Karnataka,FEMALE
DILIP SAIKIA,BJP,735469,Assam,MALE
HEMA MALINI,BJP,671293,Uttar Pradesh,FEMALE
CHOUDHURY MOHAN JATUA,AITC,726828,West Bengal,MALE
SHRIRANG APPA CHANDU BARNE,SHS,720663,Maharashtra,MALE
KODIKUNNIL SURESH,INC,440415,Kerala,MALE
RAMALINGAM. S,DMK,599292,Tamil Nadu,MALE
BISHWESWAR TUDU,BJP,483812,Odisha,MALE
Kotha Prabhakar Reddy,TRS,596048,Telangana,MALE
Dilip Ghosh,BJP,685433,West Bengal,MALE
